CatNum,CatPlate,Year,Month,Day,TDofGreatestEclipse,DTs,LunaNum,SarosNum,EclType,QLE,Gamma,EclMag,Lat,Long,SunAlt,SunAzm,PathWidthkm,CentralLineDur,GregorianDate,DeltaT,DeltaT2
1808,91,-1241,Aug,29,11:53:01,29818,-40078,15,P,-t,-1.5203,0.0785,70.3S,80.7E,0,44,,,-1241-08-18T11:53:01,0,0.0
1809,91,-1241,Sep,28,5:50:36,29817,-40077,53,P,t-,1.4788,0.1527,71.7N,45.9W,0,279,,,-1241-09-17T05:50:36,29 days 17:57:35,29.74832175925926
1890,95,-1208,May,27,16:10:37,29183,-39673,18,P,-t,1.1519,0.7025,69.0N,97.5W,0,24,,,-1208-05-16T16:10:37,11930 days 10:20:01,11930.43056712963
1972,99,-1175,Feb,23,21:28:39,28555,-39268,21,A,-p,-0.7271,0.9315,53.3S,13.0E,43,316,367,06m01s,-1175-02-12T21:28:39,11960 days 05:18:02,11960.220856481481
2056,103,-1143,Nov,22,16:42:10,27933,-38863,24,A,-p,0.7876,0.9179,30.5N,63.0E,38,204,494,09m36s,-1143-11-11T16:42:10,11959 days 19:13:31,11959.80105324074
2138,107,-1110,Aug,21,11:26:42,27318,-38458,27,A,-p,-0.8556,0.9425,41.7S,109.0E,31,16,409,06m07s,-1110-08-10T11:26:42,11959 days 18:44:32,11959.780925925927
2217,111,-1077,May,20,15:13:09,26710,-38053,30,A,-p,0.4478,0.9794,43.5N,54.1E,63,166,82,02m00s,-1077-05-10T15:13:09,11960 days 03:46:27,11960.157256944445
2295,115,-1044,Feb,16,17:26:53,26109,-37648,33,A,nn,-0.0834,0.9805,20.3S,33.9E,85,336,70,02m00s,-1044-02-06T17:26:53,11960 days 02:13:44,11960.09287037037
2374,119,-1012,Nov,14,9:38:15,25515,-37243,36,A,-n,0.1962,0.9799,5.7S,143.6E,79,203,73,02m07s,-1012-11-04T09:38:15,11959 days 16:11:22,11959.674560185185
2448,123,-979,Aug,13,2:47:53,24928,-36838,39,H3,-n,-0.2387,1.0168,4.5N,119.8W,76,10,59,01m48s,-979-08-04T02:47:53,11959 days 17:09:38,11959.715023148148
2523,127,-946,May,12,3:58:30,24347,-36433,42,T,nn,-0.1532,1.0497,6.7N,138.1W,81,347,167,04m54s,-946-05-03T03:58:30,11960 days 01:10:37,11960.049039351852
2596,130,-913,Feb,8,2:31:54,23773,-36028,45,T,n-,0.4384,1.0416,6.5N,123.5W,64,159,154,03m51s,-913-01-30T02:31:54,11959 days 22:33:24,11959.939861111112
2669,134,-881,Nov,6,16:17:53,23207,-35623,48,T,n-,-0.2968,1.0389,29.2S,21.0E,73,28,136,03m08s,-881-10-29T16:17:53,11959 days 13:45:59,11959.573599537038
2743,138,-848,Aug,4,8:40:00,22647,-35218,51,T,n-,0.2968,1.0684,37.2N,147.8E,73,189,234,05m33s,-848-07-27T08:40:00,11959 days 16:22:07,11959.682025462964
2816,141,-815,May,3,8:45:04,22093,-34813,54,T,p-,-0.695,1.0754,29.9S,151.1E,46,344,338,06m13s,-815-04-25T08:45:04,11960 days 00:05:04,11960.003518518519
2891,145,-782,Jan,30,5:50:56,21547,-34408,57,T,t-,0.9378,1.04,46.2N,160.3E,20,154,386,03m01s,-782-01-22T05:50:56,11959 days 21:05:52,11959.879074074073
2965,149,-750,Oct,28,19:10:19,21008,-34003,60,T,p-,-0.7881,1.0288,54.0S,60.2W,38,49,156,01m55s,-750-10-20T19:10:19,11959 days 13:19:23,11959.555127314814
3044,153,-717,Jul,27,12:45:12,20475,-33598,63,T,t-,0.8458,1.0398,78.6N,96.3E,32,204,252,02m24s,-717-07-19T12:45:12,11959 days 17:34:53,11959.732557870371
3125,157,-684,Apr,24,14:18:14,19949,-33193,66,P,t-,-1.2806,0.4804,71.0S,105.8E,0,303,,,-684-04-17T14:18:14,11960 days 01:33:02,11960.064606481481
3207,161,-651,Jan,21,12:14:48,19430,-32788,69,P,t-,1.5007,0.0881,63.4N,42.7E,0,145,,,-651-01-14T12:14:48,11959 days 21:56:34,11959.914282407408
3290,165,-619,Oct,20,3:02:09,18918,-32383,72,P,t-,-1.3482,0.3637,60.9S,106.0E,0,107,,,-619-10-13T03:02:09,11959 days 14:47:21,11959.616215277778
3374,169,-586,Jun,19,12:45:10,18414,-31979,37,P,-t,-1.2308,0.5723,64.7S,87.6E,0,338,,,-586-06-13T12:45:10,11930 days 09:43:01,11930.404872685185
3375,169,-586,Jul,18,23:59:19,18412,-31978,75,P,t-,1.4763,0.1354,67.4N,71.2E,0,355,,,-586-07-12T23:59:19,29 days 11:14:09,29.46815972222222
3460,173,-553,Mar,18,15:53:22,17915,-31574,40,A,-p,0.83,0.9778,49.2N,3.8W,34,152,140,01m56s,-553-03-12T15:53:22,11930 days 15:54:03,11930.662534722222
3542,178,-521,Dec,15,11:19:54,17423,-31169,43,A,-p,-0.8304,0.9409,79.7S,84.1E,34,358,397,04m20s,-521-12-09T11:19:54,11959 days 19:26:32,11959.810092592592
3623,182,-488,Sep,12,4:17:06,16899,-30764,46,A,-p,0.9761,0.9359,61.6N,97.0W,12,262,1132,04m30s,-488-09-07T04:17:06,11959 days 16:57:12,11959.70638888889
3704,186,-455,Jun,11,7:08:11,16336,-30359,49,A,-p,-0.6586,0.9531,17.7S,148.1E,49,348,226,05m58s,-455-06-06T07:08:11,11960 days 02:51:05,11960.11880787037
3782,190,-422,Mar,10,12:40:07,15802,-29954,52,A,nn,0.2165,0.9371,5.7N,55.5E,77,163,239,08m14s,-422-03-05T12:40:07,11960 days 05:31:56,11960.23050925926
3859,193,-390,Dec,7,8:55:37,15292,-29549,55,A,nn,-0.2361,0.9162,36.2S,107.9E,76,3,328,10m16s,-390-12-02T08:55:37,11959 days 20:15:30,11959.844097222222
3933,197,-357,Sep,5,3:40:10,14804,-29144,58,A,-p,0.3334,0.9333,26.4N,163.5W,70,211,262,07m13s,-357-08-31T03:40:10,11959 days 18:44:33,11959.7809375
4005,201,-324,Jun,3,7:48:31,14337,-28739,61,A,nn,0.0434,0.9603,24.3N,120.0E,87,165,144,04m41s,-324-05-29T07:48:31,11960 days 04:08:21,11960.172465277778
4080,204,-291,Mar,2,11:51:44,13889,-28334,64,A,p-,-0.4425,0.9559,34.0S,72.5E,64,340,178,04m42s,-291-02-26T11:51:44,11960 days 04:03:13,11960.168900462962
4152,208,-259,Nov,29,5:47:16,13458,-27929,67,A,n-,0.3653,0.9521,0.2N,149.2E,69,185,188,06m12s,-259-11-25T05:47:16,11959 days 17:55:32,11959.746898148149
4227,212,-226,Aug,27,23:23:22,13043,-27524,70,A,n-,-0.2879,0.9858,3.4S,123.6W,73,26,52,01m28s,-226-08-23T23:23:22,11959 days 17:36:06,11959.733402777778
4300,215,-193,May,27,1:16:17,12643,-27119,73,T,p-,0.6476,1.0182,57.8N,170.2W,49,148,81,01m20s,-193-05-24T01:16:17,11960 days 01:52:55,11960.078414351852
4378,219,-160,Feb,23,1:22:05,12257,-26714,76,T,p-,-0.9536,1.0099,74.2S,77.5W,17,288,117,00m36s,-160-02-20T01:22:05,11960 days 00:05:48,11960.004027777777
4456,223,-128,Nov,20,16:12:27,11883,-26309,79,T,p-,0.8319,1.0131,36.5N,7.8W,33,190,81,01m10s,-128-11-17T16:12:27,11959 days 14:50:22,11959.618310185186
4535,227,-95,Aug,19,8:24:57,11521,-25904,82,T,p-,-0.7919,1.0472,33.5S,78.9E,37,29,252,03m47s,-095-08-17T08:24:57,11959 days 16:12:30,11959.675347222223
4615,231,-62,May,18,8:24:31,11170,-25499,85,P,t-,1.1504,0.7326,62.7N,32.7W,0,45,,,-062-05-16T08:24:31,11959 days 23:59:34,11959.999699074075
4697,235,-29,Feb,14,6:04:21,10829,-25094,88,P,t-,-1.4069,0.2392,70.4S,87.3W,0,224,,,-029-02-12T06:04:21,11959 days 21:39:50,11959.902662037037
4781,240,3,Nov,12,19:36:29,10495,-24689,91,P,t-,1.2822,0.4772,69.6N,41.2W,0,211,,,0003-11-10T19:36:29,11959 days 13:32:08,11959.563981481482
4864,244,36,Jul,12,4:46:32,10170,-24285,56,P,-t,1.2245,0.5888,64.2N,59.5W,0,332,,,0036-07-10T04:46:32,11930 days 09:10:03,11930.381979166666
4865,244,36,Aug,10,12:08:25,10169,-24284,94,P,t-,-1.3057,0.4325,62.2S,15.0W,0,53,,,0036-08-08T12:08:25,29 days 07:21:53,29.306863425925926
4945,248,69,Apr,10,5:13:17,9849,-23880,59,T,-p,-0.8268,1.0633,41.0S,174.1E,34,322,361,04m31s,0069-04-08T05:13:17,11930 days 17:04:52,11930.711712962962
5027,252,102,Jan,6,23:23:12,9533,-23475,62,T,-p,0.749,1.0323,25.9N,129.5W,41,179,165,03m00s,0102-01-05T23:23:12,11959 days 18:09:55,11959.756886574074
5106,256,134,Oct,5,12:48:19,9220,-23070,65,T,-p,-0.9153,1.0226,64.5S,16.5W,23,45,193,01m29s,0134-10-04T12:48:19,11959 days 13:25:07,11959.559108796297
